epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
46,0.016143304267443898,0.01789733287813055,0.025004796169726635,0.7814786822623988,2025-01-29 04:33:58,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
47,0.016132465958106898,0.017882167304013027,0.025010207983296028,0.7787945795595785,2025-01-29 04:34:07,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
48,0.016125790801512576,0.0178704925445039,0.025014334377866758,0.7769586929951164,2025-01-29 04:34:16,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
49,0.016121741937666495,0.017857973626488385,0.02501229145055798,0.778524231037354,2025-01-29 04:34:25,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
50,0.01611919204659033,0.01785190803843124,0.02501653449076225,0.7696167423888463,2025-01-29 04:34:33,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
51,0.016117993253851083,0.017846761340989132,0.025020476344684742,0.7406038953286272,2025-01-29 04:34:42,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
52,0.016115795977970176,0.017844569139839717,0.025022684043217152,0.7469207486055353,2025-01-29 04:34:51,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
53,0.016114983683247572,0.01784329241844521,0.025026257844247,0.7509640649064141,2025-01-29 04:35:00,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
54,0.016114322982853414,0.017842311374560244,0.02503048885934696,0.7534686769104464,2025-01-29 04:35:09,1e-05,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
55,0.01611368324289598,0.01783768242229403,0.0250286118358835,0.7560526116924242,2025-01-29 04:35:18,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
56,0.016102114481079143,0.017836441395795582,0.025027188565261642,0.7541891825746527,2025-01-29 04:35:27,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
57,0.016101925004921035,0.017835624411562893,0.025026398847873405,0.756389398154407,2025-01-29 04:35:36,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
58,0.016102015280460076,0.01783781235376112,0.02502950033443998,0.7626339459172119,2025-01-29 04:35:45,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
59,0.016101811243584608,0.017836636152645035,0.025028847553842055,0.7646300360684957,2025-01-29 04:35:54,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
60,0.016101800740083178,0.017835996103381616,0.025028670098473326,0.7668430659516181,2025-01-29 04:36:03,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
61,0.016101603022004227,0.017834901211839865,0.025027994934612077,0.768709257584432,2025-01-29 04:36:11,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
62,0.016101768717067543,0.01783281972601348,0.02502561929674232,0.7694369067146379,2025-01-29 04:36:20,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
63,0.016101514998107875,0.017834259910839742,0.025028514082835757,0.7693459113124602,2025-01-29 04:36:29,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
64,0.016101412754505873,0.01783124725584585,0.025024129634396118,0.7689831030191381,2025-01-29 04:36:38,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
65,0.01610129116381314,0.01783405414186244,0.025029093696195586,0.7728054291191854,2025-01-29 04:36:47,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
66,0.016101499179253218,0.017834158120872714,0.02503064071275284,0.7718370222726619,2025-01-29 04:36:56,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
67,0.01610131755488266,0.01783030173767393,0.02502490702128897,0.7712452716711725,2025-01-29 04:37:05,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
68,0.01610130729131037,0.017829626106121797,0.025024743104499595,0.7693665916039839,2025-01-29 04:37:14,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
69,0.01610129436864177,0.01783193913386334,0.02502852993862685,0.7743496541136641,2025-01-29 04:37:23,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
70,0.01610109845982728,0.01782998550796411,0.025025651451712,0.7730322189153779,2025-01-29 04:37:31,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
